sub_ID_niak,fold_0,fold_1,fold_2,fold_3,fold_4
s51064,0.0,1.0,0.0,0.0,0.0
s51065,0.0,0.0,0.0,1.0,0.0
s51066,0.0,0.0,1.0,0.0,0.0
s51068,1.0,0.0,0.0,0.0,0.0
s51069,0.0,0.0,0.0,0.0,1.0
s51070,1.0,0.0,0.0,0.0,0.0
s51072,0.0,0.0,0.0,0.0,1.0
s51073,0.0,0.0,1.0,0.0,0.0
s51074,0.0,0.0,0.0,0.0,1.0
s51075,0.0,1.0,0.0,0.0,0.0
s51076,0.0,0.0,1.0,0.0,0.0
s51077,0.0,0.0,1.0,0.0,0.0
s51078,1.0,0.0,0.0,0.0,0.0
s51079,0.0,0.0,0.0,0.0,1.0
s51080,0.0,0.0,0.0,0.0,1.0
s51082,0.0,0.0,0.0,1.0,0.0
s51083,0.0,0.0,1.0,0.0,0.0
s51084,0.0,0.0,0.0,1.0,0.0
s51085,0.0,0.0,0.0,0.0,1.0
s51086,1.0,0.0,0.0,0.0,0.0
s51087,0.0,0.0,1.0,0.0,0.0
s51088,0.0,0.0,0.0,1.0,0.0
s51089,0.0,0.0,1.0,0.0,0.0
s51090,0.0,0.0,0.0,1.0,0.0
s51091,0.0,0.0,0.0,0.0,1.0
s51093,0.0,0.0,0.0,0.0,1.0
s51094,1.0,0.0,0.0,0.0,0.0
s51096,0.0,1.0,0.0,0.0,0.0
s51098,0.0,0.0,0.0,0.0,1.0
s51100,0.0,1.0,0.0,0.0,0.0
s51101,0.0,0.0,1.0,0.0,0.0
s51102,0.0,0.0,0.0,1.0,0.0
s51103,0.0,1.0,0.0,0.0,0.0
s51104,1.0,0.0,0.0,0.0,0.0
s51105,0.0,0.0,1.0,0.0,0.0
s51106,0.0,0.0,0.0,0.0,1.0
s51107,1.0,0.0,0.0,0.0,0.0
s51108,0.0,0.0,1.0,0.0,0.0
s51109,0.0,0.0,1.0,0.0,0.0
s51110,0.0,1.0,0.0,0.0,0.0
s51111,1.0,0.0,0.0,0.0,0.0
s51112,0.0,1.0,0.0,0.0,0.0
s51113,0.0,0.0,0.0,1.0,0.0
s51115,1.0,0.0,0.0,0.0,0.0
s51117,0.0,0.0,0.0,1.0,0.0
s51118,1.0,0.0,0.0,0.0,0.0
s51119,0.0,1.0,0.0,0.0,0.0
s51120,0.0,0.0,0.0,1.0,0.0
s51121,0.0,0.0,0.0,0.0,1.0
s51122,0.0,0.0,1.0,0.0,0.0
s51125,0.0,0.0,0.0,0.0,1.0
s51126,0.0,1.0,0.0,0.0,0.0
s51127,0.0,1.0,0.0,0.0,0.0
s51128,0.0,0.0,0.0,1.0,0.0
s51129,0.0,0.0,0.0,0.0,1.0
s51130,0.0,1.0,0.0,0.0,0.0
s51131,1.0,0.0,0.0,0.0,0.0
s51146,1.0,0.0,0.0,0.0,0.0
s51147,1.0,0.0,0.0,0.0,0.0
s51148,0.0,1.0,0.0,0.0,0.0
s51150,0.0,0.0,0.0,1.0,0.0
s51151,0.0,0.0,1.0,0.0,0.0
s51154,0.0,1.0,0.0,0.0,0.0
s51155,0.0,0.0,0.0,1.0,0.0
s51156,0.0,0.0,0.0,1.0,0.0
s51159,1.0,0.0,0.0,0.0,0.0
