sub_ID_niak,fold_0,fold_1,fold_2,fold_3,fold_4
sub_10159,0.0,0.0,1.0,0.0,0.0
sub_10171,0.0,1.0,0.0,0.0,0.0
sub_10189,0.0,0.0,0.0,1.0,0.0
sub_10206,0.0,0.0,0.0,1.0,0.0
sub_10217,0.0,0.0,1.0,0.0,0.0
sub_10225,0.0,0.0,0.0,1.0,0.0
sub_10227,1.0,0.0,0.0,0.0,0.0
sub_10228,0.0,0.0,0.0,1.0,0.0
sub_10235,0.0,0.0,0.0,0.0,1.0
sub_10249,0.0,1.0,0.0,0.0,0.0
sub_10273,1.0,0.0,0.0,0.0,0.0
sub_10280,0.0,0.0,1.0,0.0,0.0
sub_10290,1.0,0.0,0.0,0.0,0.0
sub_10292,0.0,0.0,0.0,1.0,0.0
sub_10304,1.0,0.0,0.0,0.0,0.0
sub_10316,0.0,0.0,1.0,0.0,0.0
sub_10321,0.0,1.0,0.0,0.0,0.0
sub_10325,0.0,0.0,0.0,1.0,0.0
sub_10329,0.0,0.0,0.0,0.0,1.0
sub_10339,1.0,0.0,0.0,0.0,0.0
sub_10340,0.0,0.0,0.0,1.0,0.0
sub_10345,1.0,0.0,0.0,0.0,0.0
sub_10347,0.0,0.0,0.0,1.0,0.0
sub_10356,0.0,0.0,0.0,0.0,1.0
sub_10365,0.0,0.0,0.0,0.0,1.0
sub_10376,0.0,1.0,0.0,0.0,0.0
sub_10377,0.0,0.0,0.0,1.0,0.0
sub_10388,0.0,0.0,1.0,0.0,0.0
sub_10438,0.0,1.0,0.0,0.0,0.0
sub_10440,0.0,0.0,0.0,0.0,1.0
sub_10448,0.0,0.0,0.0,0.0,1.0
sub_10455,1.0,0.0,0.0,0.0,0.0
sub_10460,0.0,0.0,0.0,1.0,0.0
sub_10471,1.0,0.0,0.0,0.0,0.0
sub_10478,0.0,0.0,0.0,0.0,1.0
sub_10487,0.0,0.0,1.0,0.0,0.0
sub_10492,0.0,0.0,1.0,0.0,0.0
sub_10506,0.0,0.0,0.0,0.0,1.0
sub_10517,0.0,0.0,1.0,0.0,0.0
sub_10523,1.0,0.0,0.0,0.0,0.0
sub_10524,0.0,1.0,0.0,0.0,0.0
sub_10525,0.0,0.0,1.0,0.0,0.0
sub_10527,1.0,0.0,0.0,0.0,0.0
sub_10530,0.0,0.0,1.0,0.0,0.0
sub_10557,0.0,1.0,0.0,0.0,0.0
sub_10565,1.0,0.0,0.0,0.0,0.0
sub_10570,0.0,1.0,0.0,0.0,0.0
sub_10575,0.0,1.0,0.0,0.0,0.0
sub_10624,0.0,0.0,0.0,1.0,0.0
sub_10629,0.0,1.0,0.0,0.0,0.0
sub_10631,0.0,0.0,0.0,1.0,0.0
sub_10638,0.0,0.0,1.0,0.0,0.0
sub_10668,0.0,0.0,0.0,1.0,0.0
sub_10672,0.0,1.0,0.0,0.0,0.0
sub_10674,0.0,0.0,0.0,0.0,1.0
sub_10678,1.0,0.0,0.0,0.0,0.0
sub_10680,0.0,0.0,0.0,1.0,0.0
sub_10686,0.0,1.0,0.0,0.0,0.0
sub_10692,0.0,0.0,1.0,0.0,0.0
sub_10696,0.0,0.0,1.0,0.0,0.0
sub_10697,1.0,0.0,0.0,0.0,0.0
sub_10704,0.0,1.0,0.0,0.0,0.0
sub_10707,0.0,0.0,0.0,1.0,0.0
sub_10708,0.0,0.0,1.0,0.0,0.0
sub_10719,0.0,0.0,0.0,0.0,1.0
sub_10724,0.0,0.0,1.0,0.0,0.0
sub_10746,0.0,0.0,1.0,0.0,0.0
sub_10762,0.0,0.0,0.0,1.0,0.0
sub_10779,1.0,0.0,0.0,0.0,0.0
sub_10785,0.0,1.0,0.0,0.0,0.0
sub_10788,0.0,1.0,0.0,0.0,0.0
sub_10844,1.0,0.0,0.0,0.0,0.0
sub_10855,0.0,0.0,0.0,1.0,0.0
sub_10871,0.0,0.0,0.0,0.0,1.0
sub_10877,0.0,1.0,0.0,0.0,0.0
sub_10882,0.0,0.0,0.0,0.0,1.0
sub_10891,0.0,1.0,0.0,0.0,0.0
sub_10893,0.0,0.0,0.0,0.0,1.0
sub_10912,0.0,0.0,0.0,0.0,1.0
sub_10934,0.0,1.0,0.0,0.0,0.0
sub_10940,0.0,0.0,1.0,0.0,0.0
sub_10949,1.0,0.0,0.0,0.0,0.0
sub_10958,1.0,0.0,0.0,0.0,0.0
sub_10963,1.0,0.0,0.0,0.0,0.0
sub_10968,1.0,0.0,0.0,0.0,0.0
sub_10975,0.0,0.0,0.0,0.0,1.0
sub_10977,0.0,0.0,1.0,0.0,0.0
sub_10987,0.0,0.0,0.0,1.0,0.0
sub_11019,0.0,0.0,1.0,0.0,0.0
sub_11030,0.0,0.0,0.0,0.0,1.0
sub_11044,0.0,0.0,0.0,0.0,1.0
sub_11050,0.0,0.0,0.0,0.0,1.0
sub_11052,0.0,0.0,0.0,1.0,0.0
sub_11059,0.0,1.0,0.0,0.0,0.0
